date;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12
2009K2;243481;122142;113221;140603;102059;153013;232036;167569;604081;490007;276236;882,5
2009K3;246834;124913;114003;138482;100428;152643;241880;172261;614225;495546;280224;885,2
2009K4;249712;126565;115629;139728;104282;143269;246175;167100;617608;497088;283634;890,7
2010K1;259207;133359;117263;129869;95521;152929;252254;175177;637440;508670;284812;888,0
2010K2;254871;128683;118237;136324;98047;171312;253294;187889;641199;513229;284129;886,3
2010K3;259401;130376;120194;132671;98529;164952;251174;186690;640288;523635;289281;886,2
2010K4;264402;134348;121108;138258;102070;168140;273034;188376;670138;528073;292259;890,0
2011K1;263679;132008;122098;148189;107669;186760;279081;205162;680073;526404;301214;894,2
2011K2;268550;134346;124130;144992;105676;171995;285396;191187;692881;538157;301047;899,4
2011K3;268053;134072;124268;151298;107198;173994;294164;193730;703361;544374;309778;908,3
2011K4;271670;135016;126075;156210;110366;190317;294811;203581;716185;549648;311919;912,7
2012K1;275728;136199;128483;157505;112355;195456;312623;200756;747374;564491;325016;917,0
2012K2;278262;136641;130382;160202;113922;193757;308946;206331;741672;568426;324684;918,5
2012K3;282549;136776;134340;168704;123153;192362;293459;204899;731933;575466;326054;921,3
2012K4;285650;138300;136111;178704;128413;198604;290920;204478;740907;585108;331407;923,5
2013K1;289871;139637;137958;170100;119079;209911;286733;208076;752865;595680;343203;911,1
2013K2;292240;139745;139625;181463;126672;208166;298044;214077;759617;601191;344919;923,6
2013K3;295557;140486;140385;184799;126602;214505;310310;222314;775964;608337;346882;931,6
2013K4;297888;140146;142242;187436;130168;219575;310317;224544;783350;615339;348006;930,3
2014K1;301382;141178;144989;185559;127614;209507;311161;224831;781648;620303;358700;930,9
2014K2;304920;142728;146346;189698;131806;225472;301147;228888;787625;629881;359429;933,9
2014K3;306012;144030;146656;188738;131646;229844;302663;240795;787701;639111;360968;936,3
2014K4;310755;145354;149771;186008;132404;216605;302047;237758;784536;645912;363142;942,4
2015K1;315629;146059;153368;186177;131716;216428;295699;246729;778090;649725;357922;942,1
2015K2;317548;147283;154570;187848;135037;218312;294811;247643;782076;652888;393901;942,7
2015K3;321328;148030;156298;181848;135405;210608;303653;248390;786897;655226;355184;941,3
2015K4;326781;149302;159544;186162;138951;208101;285755;254589;766098;656192;378839;941,5
2016K1;329569;152097;161036;187372;144571;213668;271008;256391;760923;665095;362189;929,0
2016K2;331771;152430;162043;194297;149101;219704;265774;254487;769182;667124;403401;934,9
2016K3;334526;154267;163751;200020;153588;215720;270251;263766;765221;670661;360282;935,9
2016K4;339542;156744;166152;199077;155890;214449;288318;260062;793717;681082;384489;940,2
2017K1;343703;157399;169028;200498;162108;222625;296571;262985;812629;686566;370652;940,2
2017K2;347525;158765;170555;203641;164475;225890;299192;271246;817302;695995;415485;944,3
2017K3;348978;159928;171364;200416;164963;228327;296489;268258;824581;702010;374283;950,4
2017K4;355935;163437;174121;204013;166385;236526;305209;280934;839120;707045;399327;957,8
2018K1;355936;161673;175708;201499;167477;236473;322854;279719;860504;716974;388382;964,4
2018K2;363663;166309;178142;212380;173995;244227;335941;291444;879258;724133;436381;965,0
2018K3;364385;166511;179483;214898;175581;243489;357043;289451;904078;729171;392691;969,4
2018K4;369732;168068;181968;221854;179442;248737;343872;294042;899500;745930;421902;973,9
2019K1;373971;168775;185281;220482;180246;253244;334781;305324;891513;752086;410451;981,1
2019K2;375749;168923;187436;230031;184715;258633;326539;313072;885140;758756;458364;985,4
2019K3;377220;167586;189337;237022;190450;260855;316031;315651;879856;767342;417787;988,3
2019K4;379898;167799;193318;238301;188701;258662;336827;317745;901670;772130;449143;987,7
2020K1;363842;163613;185545;227579;179017;257740;320136;304730;883417;765073;428169;964,8
2020K2;328993;172789;156090;224817;179192;233480;263110;264303;806756;723113;452955;924,1
